Data Scope,Code,Name,"Credit
Points",Unit Designation,Unit Type,Prerequisites,Corequisites,NCCW,When Offered,On Campus Attendance,Staff Contact,"Offering
Department",Offering Faculty,"FOE -
Narrow",Pass/Fail,Co-taught Units,Quota,Unit Activity,ASQCNew,ASQCRecoded,WWCC,Status,Placement in SONIA,Authority,Capstone unit?,Awards/Majors
Undergraduate,ABST1000,Introducing Indigenous Australia,10,,,,,"ABSP100, ABST100","S1 Day
S1 Online
S2 Day
S2 Online","


","Ms Josephine Bourne
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ABST1020,"Dharug Country: Presences, Places and People",10,,,,,ABST102,"S1 Day
S1 External
S2 Day
S2 External","
with on campus sessions

with on campus sessions","Professor Bronwyn Carlson
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ABST1030,Introduction to Indigenous Queer Studies,10,,,,,,"S1 Day
S1 Online
S1 External","

with on campus sessions","Mr Andrew Farrell
Professor Bronwyn Carlson
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,ABST2020,Indigenous Culture and Text,10,,,40cp at 1000 level or above,,ABST202,"S1 Day
S1 Online
S2 External","

with on-campus sessions","Professor Bronwyn Carlson
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ABST2035,Global Indigenous Queer Identities,10,,,ABST1000 or ABST100 or ABST1030,,,"S2 Day
S2 Online
S2 External","

with on campus sessions","Mr Andrew Farrell
Professor Bronwyn Carlson
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,ABST2060,Indigenous Histories and Knowledges,10,,,ABST1020 or ABST1000,,,"S2 Day
S2 Online","
","Mr Tristan Kennedy
Professor Bronwyn Carlson
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,ABST3025,Indigenous Research Methodologies,10,,,(ABST1000 or ABST100) and (ABST2020 or ABST202 or ABST2060 or ABST2035),,,"S2 Day
S2 Online","
","Mr Tristan Kennedy
Professor Bronwyn  Carlson
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,ABST3035,Indigenous Queer Theory & Practice,10,,,40cp or ABST2030,,,"S2 Day
S2 Online
S2 External","

with on campus sessions","Mr Andrew Farrell
Professor Bronwyn  Carlson
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,Updated unit details as unit now approved in 2020 webforms,No,
Undergraduate,ABST3040,Indigenous Policy: Politics and Activism,10,,,"ABST1000 or 40cp at 1000 level or above
",,ABST304,"S1 Day
S1 Online
S1 External","

with on-campus sessions","Ms Josephine Bourne
",Department of Indigenous Studies,Faculty of Arts,90311,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG1000,Accounting in Society,10,,,,,"ACCG100, ACCG106, ARTS105, MMCS105, WACC100, WACC106, WACC1000","S1 Day
S2 Day","
"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG1001,Accounting and Governance,10,,,ACCG100 or ACCG1000 or ACCG106,,ACCG101,"S1 Day
S2 Day","
"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG1020,Global Legal Frameworks for a Sustainable Planet,10,,,,,BUSL100,2022,,"Dr Patricia Blazey
",Department of Accounting and Corporate Governance,Macquarie Business School,50900,No,none,no quota,no activity,No,No,,Green,No,approved as they are recoded from existing BUSL units,No,
Undergraduate,ACCG2000,Management Accounting,10,,,(50cp at 1000 level or above) including (ACCG100 or ACCG1000 or ACCG106),,ACCG200,"S1 Day
S2 Day","
"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG2002,Finance and Regulation for New Ventures,10,,,50cp at 1000 level or above including BBA102 or MGMT1002 ,,FOBE202,S2 Day,,"Dr Michael Quilter
",Department of Accounting and Corporate Governance,Macquarie Business School,81101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
Undergraduate,ACCG2004,Business Ethics and Risk Management,10,,,50cp at 1000 level or above,,BUSL204,S2 Evening,,"Dr James Hazelton
",Department of Accounting and Corporate Governance,Macquarie Business School,80300,No,none,no quota,no activity,No,No,,Green,No,approved as they are recoded from existing BUSL units,,
Undergraduate,ACCG2024,Financial Accounting and Reporting,10,,,ACCG101 or ACCG1001,,ACCG224,"S1 Day
S2 Day","
"," Accounting and Corporate Governance staff 
",Department of Accounting and Corporate Governance,Macquarie Business School,80101,No,none,no quota,no activity,No,No,,Green,No,"As per 2020 CA Project
Auto approved re-coded unit",No,
